model,ped_quality_mean,ped_quality_ci_low,ped_quality_ci_high,question_ratio_mean,context_inclusion_rate,context_fidelity_mean,no_hallucination_rate,pii_incidents_per_1k,price_per_1k_tokens_usd,cost_per_1k_interactions_usd,median_latency_ms,p95_latency_ms,first_try_success_rate,retries_per_100_calls,integration_score,controllability_score,overall_score
google-gemini-2.5-flash,3.9166832007902883,3.8651958224442238,3.9667620363853717,0.5469952371491045,0.8666666666666667,3.792361369663473,0.9666666666666667,0.0,0.22,181.21296684368585,517.3555898121083,797.0550328930731,0.9666666666666667,5.0,4.561137756737265,4.332811875111296,3.2793833446275196
anthropic-claude-3-sonnet-20240229,3.9068774320544155,3.8589928489921688,3.955920197174178,0.5354215523868849,0.8916666666666667,3.7729441382232065,0.9666666666666667,0.0,0.32,266.86256246633536,608.6409041341642,1065.702038424204,0.9666666666666667,4.166666666666666,4.238659372612093,4.2319320405448675,3.2711552908275032
openai-gpt-4o-mini,3.8923921026686874,3.8398141607515432,3.943566951414249,0.4922935090003363,0.8916666666666667,3.751812739613329,0.9333333333333333,8.333333333333334,0.24,200.47598559671,575.283501732383,924.5909332737072,0.975,3.3333333333333335,4.736921901047267,4.343418795818701,3.254239873218342
cohere-command-r-08-2024,3.7805289683913066,3.732433526641745,3.828024668859592,0.3423735182515764,0.8666666666666667,3.678858690288212,0.95,0.0,0.19,160.2920690227965,658.7361749387569,1097.117220904558,0.975,3.3333333333333335,4.4030412312188965,3.9854932788715534,3.1755887579487836
meta-llama-Llama-4-Maverick-17B-128E-Instruct,3.6888915492671948,3.64085543064775,3.7345550204642906,0.26625560216156996,0.8833333333333333,3.5991762879828775,0.9916666666666667,0.0,0.14,115.97150850161111,705.0650807240968,1139.8779720923694,0.975,2.5,3.9012403712124333,3.8502104195230102,3.1116986610284605
